Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
1296	-422.2094	-432.2712	10.0618	0.0867866	0.0715051	0.323298	0.0288963	0.00937349	0.0872438	0.158064	0.0998813	0.194904	0.59969	0.0984603	0.137271	0.0593899	0.144377	0.509538	0.353138	1.61991	0.882438	0.940828	0.981151	1.01921	1.06289	1.13322	0.0904316	0.2089153	0.0332684	0.0274105	0.123932	0.011077	0.0035932	0.0334437	0.0605916	0.0382881	0.0747138	0.229883	0.0377434	0.0526208	0.0227663	0.0553448	0.195324	0.259182	0.740818	0.2591819	2.608679
1332	-425.1794	-436.5847	11.40535	0.15613	0.193307	0.0835761	0.0274318	0.00788297	0.0195567	0.0133298	0.0393589	0.0572848	0.173347	0.0306732	0.0962109	0.155432	0.080651	0.0389613	0.479987	1.49835	0.4571	0.682632	0.887706	1.1265	1.46492	2.18771	0.5660575	0.3069972	0.133088	0.164778	0.0712417	0.0233834	0.00671958	0.0166704	0.0113625	0.0335503	0.0488306	0.147764	0.0261464	0.0820119	0.132493	0.0687483	0.0332113	0.238716	0.761284	0.2387165	1.173134
1368	-421.4979	-432.7056	11.20768	0.136974	0.0300204	0.149382	0.0499369	0.0192816	0.0141031	0.00431948	0.133118	0.0773409	0.0141524	0.0235973	0.28041	0.197491	0.156809	0.114082	0.295883	1.67478	0.304149	0.559628	0.834352	1.19853	1.7869	3.28787	0.8606248	0.1693084	0.0977673	0.0214275	0.106624	0.0356433	0.0137625	0.0100663	0.0030831	0.0950154	0.0552033	0.0101015	0.0168429	0.200147	0.140962	0.111925	0.0814279	0.400193	0.599807	0.4001932	1.401019
1404	-425.6865	-436.3756	10.68919	0.0605048	0.00595486	0.117439	0.0839634	0.0150525	0.0308938	0.0226729	0.25253	0.0205758	0.0928794	0.163521	0.234949	0.000816808	0.120615	0.326297	0.477552	1.50068	0.32461	0.577684	0.842659	1.18672	1.73105	3.08062	0.8135469	0.3049647	0.039069	0.00384515	0.0758324	0.0542166	0.00971968	0.0199486	0.0146403	0.163063	0.0132862	0.0599739	0.105588	0.15171	0.000527427	0.0778832	0.210695	0.34093	0.65907	0.3409296	1.548665
1440	-416.4722	-427.1458	10.67355	0.235958	0.00359391	0.168691	0.0117468	0.00236771	0.0591578	0.068419	0.39895	0.0996707	0.0605436	0.04184	0.299547	0.0877671	0.166724	0.337688	0.412199	1.56331	0.711768	0.847198	0.949582	1.05309	1.18036	1.40495	0.2458456	0.2526849	0.115515	0.00175942	0.0825837	0.00575072	0.00115913	0.0289611	0.033495	0.195309	0.0487944	0.0296395	0.020483	0.146645	0.042967	0.0816208	0.165318	0.393164	0.606836	0.3931644	2.042666
1476	-425.3461	-436.6515	11.30537	0.10075	0.0121789	0.117676	0.00639856	0.0205132	0.0465646	0.0186429	0.134575	0.0194308	0.00563292	0.124657	0.231345	0.0343946	0.107389	0.144018	0.530517	1.44992	0.421064	0.655834	0.876684	1.14066	1.52478	2.37493	0.6254328	0.3506482	0.0896223	0.0108337	0.104679	0.00569182	0.0182474	0.0414214	0.0165837	0.119711	0.0172846	0.00501075	0.110888	0.205792	0.0305956	0.0955276	0.12811	0.441916	0.558084	0.4419158	1.124167
1512	-417.303	-428.4324	11.12941	0.150034	0.0484774	0.0970495	0.0192882	0.00225187	0.107022	0.0206662	0.157948	0.111478	0.294926	0.0582834	0.120938	0.33704	0.154379	0.125829	0.385021	1.58935	0.763165	0.876502	0.95971	1.04198	1.1409	1.31033	0.1954316	0.2321563	0.0830934	0.0268482	0.0537488	0.0106823	0.00124715	0.0592721	0.0114455	0.0874762	0.06174	0.163338	0.032279	0.0669788	0.186663	0.0854996	0.0696879	0.37367	0.62633	0.3736698	1.805612
1548	-419.2678	-429.6287	10.36085	0.182557	0.085914	0.192181	0.0010951	0.0108468	0.0462465	0.0107595	0.204248	0.0627177	0.403195	0.151546	0.0774697	0.454662	0.220735	0.0180052	0.152598	1.81209	0.242732	0.501332	0.806203	1.24038	1.99469	4.11976	1.023718	0.08070229	0.0860232	0.0404839	0.0905584	0.000516025	0.00511118	0.021792	0.00507004	0.0962444	0.0295534	0.189991	0.0714106	0.0365048	0.214243	0.104013	0.00848428	0.291432	0.708568	0.2914317	2.122178
1584	-428.0802	-438.7847	10.70449	0.13978	0.124106	0.376322	0.0580161	0.00255583	0.0528395	0.0407039	0.190802	0.119814	0.02459	0.107695	0.00812845	0.427128	0.313276	0.174298	0.353553	1.61951	0.806585	0.900478	0.967824	1.03325	1.11052	1.23979	0.1554204	0.2092122	0.0647115	0.0574551	0.174219	0.0268586	0.00118323	0.0244621	0.0188439	0.0883318	0.0554679	0.011384	0.0498576	0.00376307	0.197739	0.145032	0.0806913	0.192619	0.807381	0.1926187	2.160055
1620	-421.6242	-432.4005	10.77626	0.161999	0.151149	0.18189	0.0132645	0.0263071	0.00432657	0.0350224	0.0833366	0.113697	0.04834	0.0908582	0.0026297	0.533809	0.37314	0.21259	0.430935	1.54535	0.845262	0.921284	0.974746	1.02591	1.08544	1.18306	0.1215537	0.2672396	0.07971	0.0743713	0.0894968	0.00652663	0.0129441	0.00212884	0.0172324	0.0410048	0.0559435	0.0237852	0.0447058	0.00129391	0.262655	0.1836	0.104602	0.53274	0.46726	0.5327403	2.032359
